timestamp(ms),GLOBAL_POSITION_INT.lat,GLOBAL_POSITION_INT.lon
863775.0500488281,30.3249135,-97.6033014
863875.0500488281,30.3248604,-97.6032744
863975.0500488281,30.3248604,-97.6032744
864075.0500488281,30.3248604,-97.6032744
864175.0500488281,30.3248604,-97.6032744
864275.0500488281,30.3248604,-97.6032744
864375.0500488281,30.3248071,-97.603247
864475.0500488281,30.3248071,-97.603247
864575.0500488281,30.3248071,-97.603247
864675.0500488281,30.3248071,-97.603247
864775.0500488281,30.3248071,-97.603247
864875.0500488281,30.3247537,-97.6032184
864975.0500488281,30.3247537,-97.6032184
865075.0500488281,30.3247537,-97.6032184
865175.0500488281,30.3247537,-97.6032184
865275.0500488281,30.3247537,-97.6032184
865375.0500488281,30.3247001,-97.6031891
865475.0500488281,30.3247001,-97.6031891
865575.0500488281,30.3247001,-97.6031891
865675.0500488281,30.3247001,-97.6031891
865775.0500488281,30.3247001,-97.6031891
865875.0500488281,30.3246464,-97.6031596
865975.0500488281,30.3246464,-97.6031596
866075.0500488281,30.3246464,-97.6031596
866175.0500488281,30.3246464,-97.6031596
866275.0500488281,30.3246464,-97.6031596
866375.0500488281,30.3245926,-97.6031305
866475.0500488281,30.3245926,-97.6031305
866575.0500488281,30.3245926,-97.6031305
866675.0500488281,30.3245926,-97.6031305
866775.0500488281,30.3245926,-97.6031305
866875.0500488281,30.3245387,-97.6031012
866975.0500488281,30.3245387,-97.6031012
867075.0500488281,30.3245387,-97.6031012
867175.0500488281,30.3245387,-97.6031012
867275.0500488281,30.3245387,-97.6031012
867375.0500488281,30.324485,-97.6030724
867475.0500488281,30.324485,-97.6030724
867575.0500488281,30.324485,-97.6030724
867675.0500488281,30.324485,-97.6030724
867775.0500488281,30.324485,-97.6030724
867875.0500488281,30.3244313,-97.6030439
867975.0500488281,30.3244313,-97.6030439
868075.0500488281,30.3244313,-97.6030439
868175.0500488281,30.3244313,-97.6030439
868275.0500488281,30.3244313,-97.6030439
868375.0500488281,30.324378,-97.6030156
868475.0500488281,30.324378,-97.6030156
868575.0500488281,30.324378,-97.6030156
868675.0500488281,30.324378,-97.6030156
868775.0500488281,30.324378,-97.6030156
868875.0500488281,30.3243255,-97.6029876
868975.0500488281,30.3243255,-97.6029876
869075.0500488281,30.3243255,-97.6029876
869175.0500488281,30.3243255,-97.6029876
869275.0500488281,30.3243255,-97.6029876
869375.0500488281,30.3242737,-97.6029597
869475.0500488281,30.3242737,-97.6029597
869575.0500488281,30.3242737,-97.6029597
869675.0500488281,30.3242737,-97.6029597
869775.0500488281,30.3242737,-97.6029597
869875.0500488281,30.3242223,-97.6029311
869975.0500488281,30.3242223,-97.6029311
870075.0500488281,30.3242223,-97.6029311
